Language,Full/Limited,Basic/Extended/8way,system,Total time(sec),Elapsed time(sec),Total time,Elapsed time,Total Elapsed Time,Total GPU Time
103-Bengali,Limited,basic,4way comb Ingestion GPU,4731642,79836,1314:20:42,22:10:36,38:33:58,88:42:24
103-Bengali,Limited,basic,4way comb Search,77203,2026,21:26:43,0:33:46,,2:15:04
103-Bengali,Limited,extended,PLP Ingestion,839372,19713,233:09:32,5:28:33,,21:54:12
103-Bengali,Limited,extended,PLP Search,17108,480,4:45:08,0:08:00,,0:32:00
103-Bengali,Limited,extended,DNN Ingestion,571817,10026,158:50:17,2:47:06,,11:08:24
103-Bengali,Limited,extended,DNN Ingestion GPU,1300687,20819,361:18:07,5:46:59,8:34:05,23:07:56
103-Bengali,Limited,extended,DNN Search,13771,306,3:49:31,0:05:06,,0:20:24
103-Bengali,Limited,extended,BNF Ingestion,1238883,20240,344:08:03,5:37:20,,22:29:20
103-Bengali,Limited,extended,BNF Ingestion GPU,134380,7277,37:19:40,2:01:17,7:38:37,8:05:08
103-Bengali,Limited,extended,BNF Search,23867,623,6:37:47,0:10:23,,0:41:32
103-Bengali,Limited,extended,BNF_SEMISUP Ingestion,2759146,28894,766:25:46,8:01:34,,32:06:16
103-Bengali,Limited,extended,BNF_SEMISUP Ingestion GPU,3296575,51740,915:42:55,14:22:20,22:23:54,57:29:20
103-Bengali,Limited,extended,BNF_SEMISUP Search,19389,428,5:23:09,0:07:08,,0:28:32
103-Bengali,Limited,extended,4way comb Ingestion,4814240,59859,1337:17:20,16:37:39,,66:30:36
103-Bengali,Limited,extended,4way comb Ingestion GPU,4731642,79836,1314:20:42,22:10:36,38:48:15,88:42:24
103-Bengali,Limited,extended,4way comb Search,71429,1732,19:50:29,0:28:52,,1:55:28
103-Bengali,Limited,8-way,8way comb Ingestion,6760127,87398,1877:48:47,24:16:38,,97:06:32
103-Bengali,Limited,8-way,8way comb Ingestion GPU,4731642,79836,1314:20:42,22:10:36,46:27:14,88:42:24
103-Bengali,Limited,8-way,8way comb Search,148632,3758,41:17:12,1:02:38,,4:10:32
201-Haitian,Limited,basic,PLP Ingestion,716215,17766,198:56:55,4:56:06,,19:44:24
